file,readability_score,sentence_length_avg,lexical_diversity,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_compound
GPT_4o_Raw_Text_1.txt,16.5,21.189655172413794,0.34743694060211555,0.172,0.679,0.15,-0.4982
GPT_4o_Raw_Text_10.txt,13.0,28.81578947368421,0.3333333333333333,0.122,0.867,0.011,0.9977
GPT_4o_Raw_Text_100.txt,11.0,22.19298245614035,0.2711462450592885,0.052,0.79,0.158,-0.9986
GPT_4o_Raw_Text_11.txt,12.2,17.054054054054053,0.393026941362916,0.147,0.842,0.011,0.9993
GPT_4o_Raw_Text_12.txt,14.9,20.254901960784313,0.4191674733785092,0.142,0.772,0.087,0.9872
GPT_4o_Raw_Text_13.txt,15.7,23.8,0.3831932773109244,0.107,0.849,0.044,0.996
GPT_4o_Raw_Text_14.txt,15.2,23.1,0.3826839826839827,0.105,0.882,0.014,0.9975
GPT_4o_Raw_Text_15.txt,13.9,20.403225806451612,0.34466403162055337,0.12,0.868,0.012,0.9988
GPT_4o_Raw_Text_16.txt,14.0,19.3,0.3860103626943005,0.152,0.837,0.011,0.9984
GPT_4o_Raw_Text_17.txt,16.2,25.5,0.4241486068111455,0.134,0.815,0.051,0.9938
GPT_4o_Raw_Text_18.txt,15.5,21.60377358490566,0.39650655021834064,0.16,0.714,0.125,0.9696
GPT_4o_Raw_Text_19.txt,13.0,22.363636363636363,0.3871951219512195,0.061,0.924,0.016,0.9853
GPT_4o_Raw_Text_2.txt,15.3,22.591836734693878,0.38482384823848237,0.167,0.803,0.03,0.999
GPT_4o_Raw_Text_20.txt,16.2,23.434782608695652,0.3961038961038961,0.075,0.906,0.018,0.9898
GPT_4o_Raw_Text_21.txt,15.5,22.2,0.43355855855855857,0.137,0.805,0.057,0.9946
GPT_4o_Raw_Text_22.txt,13.1,24.674418604651162,0.3242224316682375,0.109,0.885,0.006,0.9974
GPT_4o_Raw_Text_23.txt,14.5,19.18918918918919,0.38591549295774646,0.147,0.815,0.037,0.999
GPT_4o_Raw_Text_24.txt,14.1,21.93877551020408,0.4130232558139535,0.127,0.863,0.01,0.9979
GPT_4o_Raw_Text_25.txt,14.6,23.392156862745097,0.37803855825649624,0.074,0.921,0.005,0.9955
GPT_4o_Raw_Text_26.txt,15.1,21.155555555555555,0.4117647058823529,0.117,0.849,0.034,0.9945
GPT_4o_Raw_Text_27.txt,14.8,19.402985074626866,0.4023076923076923,0.173,0.799,0.028,0.9994
GPT_4o_Raw_Text_28.txt,15.5,22.60377358490566,0.3964941569282137,0.145,0.845,0.009,0.9993
GPT_4o_Raw_Text_29.txt,16.2,25.45,0.3781925343811395,0.088,0.888,0.024,0.9959
GPT_4o_Raw_Text_3.txt,12.8,21.980392156862745,0.3862622658340767,0.139,0.793,0.069,0.9966
GPT_4o_Raw_Text_30.txt,14.7,19.842105263157894,0.39610963748894784,0.14,0.846,0.014,0.9985
GPT_4o_Raw_Text_31.txt,15.9,24.066666666666666,0.42382271468144045,0.233,0.748,0.019,0.9997
GPT_4o_Raw_Text_32.txt,13.5,18.98181818181818,0.43007662835249044,0.142,0.848,0.01,0.9987
GPT_4o_Raw_Text_33.txt,15.7,21.69811320754717,0.3869565217391304,0.106,0.891,0.003,0.9981
GPT_4o_Raw_Text_34.txt,15.3,22.372093023255815,0.4407484407484408,0.142,0.836,0.021,0.9982
GPT_4o_Raw_Text_35.txt,12.7,14.440860215053764,0.3864482501861504,0.106,0.877,0.017,0.9977
GPT_4o_Raw_Text_36.txt,15.7,23.11111111111111,0.3951923076923077,0.181,0.739,0.08,0.9984
GPT_4o_Raw_Text_37.txt,14.3,21.41304347826087,0.4,0.229,0.734,0.037,0.9995
GPT_4o_Raw_Text_38.txt,15.1,22.34,0.41897940913160253,0.168,0.798,0.034,0.9991
GPT_4o_Raw_Text_39.txt,11.9,23.875,0.34554973821989526,0.055,0.936,0.009,0.982
