file,readability_score,sentence_length_avg,lexical_diversity,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_compound
blog_summary_1.txt,15.1,25.666666666666668,0.46382189239332094,0.141,0.766,0.094,0.9496
blog_summary_10.txt,16.4,29.285714285714285,0.48292682926829267,0.14,0.854,0.005,0.9923
blog_summary_100.txt,16.3,28.823529411764707,0.4959183673469388,0.133,0.833,0.034,0.9904
blog_summary_11.txt,16.7,27.0,0.4765432098765432,0.137,0.857,0.006,0.9917
blog_summary_12.txt,17.2,28.25,0.4743362831858407,0.148,0.76,0.093,0.9372
blog_summary_13.txt,15.1,25.0,0.5031578947368421,0.107,0.864,0.029,0.979
blog_summary_14.txt,13.6,25.526315789473685,0.4824742268041237,0.16,0.812,0.028,0.9963
blog_summary_15.txt,17.7,34.5625,0.42495479204339964,0.101,0.888,0.011,0.9918
blog_summary_16.txt,18.0,30.5,0.47358834244080145,0.231,0.765,0.004,0.9985
blog_summary_17.txt,17.0,31.75,0.5,0.169,0.814,0.017,0.9971
blog_summary_18.txt,16.7,27.166666666666668,0.49693251533742333,0.151,0.761,0.087,0.9786
blog_summary_19.txt,16.6,24.875,0.4748743718592965,0.072,0.918,0.01,0.9509
blog_summary_2.txt,17.3,29.133333333333333,0.45537757437070936,0.202,0.795,0.003,0.9973
blog_summary_20.txt,16.2,28.304347826086957,0.46543778801843316,0.135,0.846,0.019,0.997
blog_summary_21.txt,16.9,27.625,0.5180995475113123,0.107,0.8,0.093,0.2398
blog_summary_22.txt,18.2,31.1875,0.44889779559118237,0.1,0.896,0.004,0.9842
blog_summary_23.txt,15.0,25.0,0.474,0.21,0.777,0.013,0.9981
blog_summary_24.txt,17.0,31.157894736842106,0.44763513513513514,0.134,0.86,0.006,0.9965
blog_summary_25.txt,18.7,32.6,0.4662576687116564,0.073,0.927,0.0,0.9744
blog_summary_26.txt,17.7,29.875,0.5,0.135,0.826,0.039,0.9904
blog_summary_27.txt,17.5,30.352941176470587,0.48255813953488375,0.127,0.86,0.013,0.9921
blog_summary_28.txt,18.6,30.866666666666667,0.46652267818574517,0.188,0.804,0.008,0.996
blog_summary_29.txt,17.2,32.875,0.5057034220532319,0.057,0.939,0.004,0.9489
blog_summary_3.txt,16.1,29.166666666666668,0.4438095238095238,0.114,0.826,0.06,0.9732
blog_summary_30.txt,18.8,29.1875,0.48822269807280516,0.136,0.848,0.016,0.993
blog_summary_31.txt,17.9,30.105263157894736,0.458041958041958,0.182,0.805,0.014,0.9982
blog_summary_32.txt,17.8,31.133333333333333,0.4603854389721627,0.144,0.852,0.005,0.995
blog_summary_33.txt,17.2,31.352941176470587,0.46716697936210133,0.161,0.823,0.017,0.9969
blog_summary_34.txt,18.2,31.375,0.4721115537848606,0.203,0.791,0.006,0.9979
blog_summary_35.txt,16.4,25.63157894736842,0.45790554414784396,0.128,0.854,0.018,0.9938
blog_summary_36.txt,18.0,30.235294117647058,0.4494163424124514,0.115,0.873,0.012,0.9925
blog_summary_37.txt,18.9,29.625,0.4957805907172996,0.222,0.757,0.021,0.9976
blog_summary_38.txt,18.0,31.333333333333332,0.4765957446808511,0.161,0.819,0.02,0.9944
blog_summary_39.txt,16.0,28.41176470588235,0.2795031055900621,0.112,0.878,0.011,0.9974
blog_summary_4.txt,16.3,28.85,0.42287694974003465,0.201,0.782,0.017,0.9978
blog_summary_40.txt,17.3,29.31578947368421,0.44703770197486536,0.201,0.79,0.009,0.9982
blog_summary_41.txt,16.6,29.8,0.4429530201342282,0.144,0.845,0.01,0.9943
blog_summary_42.txt,16.9,30.333333333333332,0.46153846153846156,0.224,0.729,0.047,0.9986
blog_summary_43.txt,18.3,31.235294117647058,0.4538606403013183,0.137,0.863,0.0,0.9964
blog_summary_44.txt,16.3,31.8125,0.4086444007858546,0.111,0.807,0.082,0.9493
blog_summary_45.txt,14.7,22.545454545454547,0.4596774193548387,0.128,0.867,0.006,0.9907
blog_summary_46.txt,17.8,31.571428571428573,0.4683257918552036,0.166,0.801,0.033,0.9945
blog_summary_47.txt,16.5,30.2,0.5033112582781457,0.122,0.87,0.009,0.9902
blog_summary_48.txt,15.1,26.5,0.480083857442348,0.188,0.805,0.008,0.9975
blog_summary_49.txt,17.6,29.4375,0.5329087048832272,0.086,0.842,0.072,0.7399
blog_summary_5.txt,18.5,29.533333333333335,0.48081264108352145,0.117,0.871,0.012,0.9848
blog_summary_50.txt,16.5,30.866666666666667,0.468682505399568,0.178,0.814,0.007,0.9965
blog_summary_51.txt,18.7,29.1875,0.5310492505353319,0.133,0.86,0.008,0.9927
blog_summary_52.txt,16.8,30.6,0.49673202614379086,0.058,0.93,0.013,0.9108
blog_summary_53.txt,17.0,31.470588235294116,0.45794392523364486,0.124,0.865,0.011,0.9939
blog_summary_54.txt,17.1,29.22222222222222,0.46387832699619774,0.079,0.905,0.017,0.9714
blog_summary_55.txt,17.2,32.88235294117647,0.4203935599284436,0.225,0.772,0.003,0.9986
blog_summary_56.txt,16.7,26.75,0.5257009345794392,0.22,0.762,0.018,0.9974
blog_summary_57.txt,17.8,33.38461538461539,0.41013824884792627,0.086,0.905,0.009,0.9812
blog_summary_58.txt,17.5,25.529411764705884,0.511520737327189,0.167,0.822,0.011,0.9967
blog_summary_59.txt,18.2,35.083333333333336,0.5296912114014252,0.129,0.855,0.016,0.9897
blog_summary_6.txt,18.4,28.0,0.5,0.142,0.851,0.007,0.9951
blog_summary_60.txt,19.3,32.86666666666667,0.4847870182555781,0.078,0.913,0.009,0.9647
blog_summary_61.txt,16.8,27.57894736842105,0.4770992366412214,0.141,0.783,0.076,0.9816
blog_summary_62.txt,18.0,27.0625,0.49884526558891457,0.141,0.831,0.028,0.9915
blog_summary_63.txt,17.8,34.166666666666664,0.526829268292683,0.151,0.844,0.005,0.9947
blog_summary_64.txt,18.4,31.857142857142858,0.49327354260089684,0.12,0.88,0.0,0.9941
blog_summary_65.txt,18.8,28.57894736842105,0.4696132596685083,0.168,0.819,0.013,0.9963
blog_summary_66.txt,18.8,28.8,0.5,0.124,0.869,0.007,0.9928
blog_summary_67.txt,19.0,29.928571428571427,0.5035799522673031,0.162,0.821,0.017,0.9942
blog_summary_68.txt,18.7,33.214285714285715,0.5075268817204301,0.144,0.839,0.017,0.9927
blog_summary_69.txt,15.8,23.5,0.5177304964539007,0.192,0.786,0.022,0.9967
blog_summary_7.txt,17.6,30.6875,0.4439918533604888,0.142,0.858,0.0,0.9962
blog_summary_70.txt,17.6,33.3125,0.46716697936210133,0.164,0.823,0.014,0.9948
blog_summary_71.txt,16.3,28.1875,0.49889135254988914,0.168,0.828,0.004,0.9958
blog_summary_72.txt,15.9,28.0,0.4607142857142857,0.166,0.829,0.005,0.9972
blog_summary_73.txt,18.0,30.428571428571427,0.5093896713615024,0.192,0.779,0.029,0.9961
blog_summary_74.txt,17.6,30.166666666666668,0.47697974217311234,0.155,0.831,0.014,0.9957
blog_summary_75.txt,16.4,29.133333333333333,0.528604118993135,0.101,0.896,0.003,0.9873
blog_summary_76.txt,15.4,27.4,0.4489051094890511,0.176,0.798,0.026,0.9973
blog_summary_77.txt,16.5,31.6,0.45569620253164556,0.119,0.881,0.0,0.9932
blog_summary_78.txt,18.9,33.4,0.49700598802395207,0.256,0.74,0.004,0.999
blog_summary_79.txt,18.1,35.13333333333333,0.4667931688804554,0.136,0.86,0.004,0.9951
blog_summary_8.txt,16.9,29.42105263157895,0.4472271914132379,0.106,0.894,0.0,0.9881
blog_summary_80.txt,16.5,33.333333333333336,0.476,0.115,0.871,0.014,0.9925
blog_summary_81.txt,16.4,29.5625,0.5243128964059197,0.158,0.83,0.012,0.995
blog_summary_82.txt,15.3,25.647058823529413,0.47477064220183485,0.17,0.816,0.015,0.9966
blog_summary_83.txt,16.4,29.466666666666665,0.5090497737556561,0.066,0.919,0.015,0.9032
blog_summary_84.txt,16.7,27.0,0.47276688453159044,0.1,0.893,0.007,0.9893
blog_summary_85.txt,16.6,30.5,0.4979508196721312,0.113,0.88,0.008,0.9842
blog_summary_86.txt,16.0,28.5,0.4502923976608187,0.156,0.838,0.006,0.9964
blog_summary_87.txt,17.3,31.823529411764707,0.4787430683918669,0.22,0.764,0.016,0.9985
blog_summary_88.txt,18.1,31.5625,0.48514851485148514,0.164,0.809,0.027,0.995
blog_summary_89.txt,16.1,33.35294117647059,0.47442680776014107,0.114,0.866,0.02,0.9917
blog_summary_9.txt,17.4,28.533333333333335,0.5210280373831776,0.113,0.882,0.005,0.9867
blog_summary_90.txt,19.4,27.444444444444443,0.45951417004048584,0.121,0.868,0.011,0.9911
blog_summary_91.txt,17.5,35.1875,0.4564831261101243,0.13,0.867,0.003,0.9953
blog_summary_92.txt,16.2,28.764705882352942,0.46421267893660534,0.131,0.865,0.004,0.995
blog_summary_93.txt,18.1,32.125,0.42996108949416345,0.168,0.832,0.0,0.9975
blog_summary_94.txt,14.2,25.555555555555557,0.43043478260869567,0.125,0.868,0.007,0.9934
blog_summary_95.txt,14.3,28.944444444444443,0.42226487523992323,0.115,0.885,0.0,0.9946
blog_summary_96.txt,16.6,30.5625,0.4437627811860941,0.127,0.815,0.058,0.9785
blog_summary_97.txt,16.2,31.9375,0.48336594911937375,0.133,0.841,0.026,0.9951
blog_summary_98.txt,13.9,26.555555555555557,0.5,0.115,0.88,0.004,0.9916
blog_summary_99.txt,15.4,25.0,0.5244444444444445,0.096,0.887,0.016,0.9842
